policy_family,allocation_family,budget_k,delta_wait1,delta_p90_wait1,delta_p95_wait1,delta_high_wait_prob,delta_low_eff_share,delta_state4_share
queue,uniform,5,-0.016662657770120326,-0.03490681675474683,-0.08047746892553853,-0.0014203148728818282,0.0006894552314894442,-6.438716527976118e-05
queue,hard_topk,5,-0.0186989586290931,-0.005946941743834699,-0.15089936041152718,-0.00022397272995444695,0.0003298569763949821,-0.0001274608689151857
queue,soft_topk,5,-0.02434318793003598,-0.0491686365347217,-0.20294832229281567,-0.0020430683171453884,0.000791569307298845,-2.8936762516085235e-05
queue,rank_weighted,5,-0.020222164093564032,-0.042008125633611115,-0.12702989926665076,-0.001698915097947104,0.0006816050648227878,-5.719730320136174e-05
queue,uniform,10,-0.033116489596253906,-0.07288319474640659,-0.1445697764488454,-0.0029280337379409827,0.0013895137727888418,-0.00013520616444695488
queue,hard_topk,10,-0.05137405423805852,-0.171350291659234,-0.3445171155669229,-0.00709611161489801,0.0022540694001745853,-5.396258950512989e-05
queue,soft_topk,10,-0.04851418131114471,-0.1702212793842275,-0.34247434316765535,-0.006948617378098751,0.002121868447127251,-2.122646575436482e-05
queue,rank_weighted,10,-0.04257475696909552,-0.11434237495985045,-0.28628097568042676,-0.0045013055971331595,0.0016079543360465465,-9.864131468936832e-05
queue,uniform,15,-0.04936695390193613,-0.10659423745033259,-0.20217411799384877,-0.0042336308710900356,0.002099479572017393,-0.00021292303579883987
queue,hard_topk,15,-0.06314513684637557,-0.25620638812879193,-0.41892749935971274,-0.010444777065192451,0.002383818370918389,-0.000135247007886502
queue,soft_topk,15,-0.061598053669793096,-0.22625103346211084,-0.39124171892590454,-0.009412317407597598,0.0024292141404554934,-0.00015595769438214724
queue,rank_weighted,15,-0.0628890845344765,-0.20312674274092224,-0.3811411547098409,-0.008336155753914068,0.0026723021818447767,-0.00013435346462706277
structural,uniform,5,-0.026816753233270596,-0.03290456863050295,-0.09569630944299057,-0.0012618951370603898,-0.003633317282196624,-0.0014632965304977597
structural,hard_topk,5,-0.026029390191153468,-0.0002981484133730561,-0.011748233031692479,-1.63882485332556e-05,-0.0024282529120827623,-0.001241456383374917
structural,soft_topk,5,-0.02769230280293744,-0.00355419194553086,-0.01378992600815998,-0.00013110598826601705,-0.0027379745407543066,-0.0013472381516309861
structural,rank_weighted,5,-0.029273267951791304,-0.019711058903048695,-0.06288868877827092,-0.0007920986791071782,-0.0031990025609257566,-0.0013361924193233954
structural,uniform,10,-0.05266703777316106,-0.0667995469341065,-0.18715856230872951,-0.0025347157731429454,-0.0072706996572161064,-0.002934131867428247
structural,hard_topk,10,-0.045678423809978774,-0.03943385995346382,-0.018119199676997155,-0.0016060483562586741,-0.005685494916152833,-0.0027775077671543524
structural,soft_topk,10,-0.04741753118174952,-0.025682479301655903,-0.02046346029482038,-0.0010652361546613642,-0.005760495022432366,-0.0025459442639978735
structural,rank_weighted,10,-0.05350654596214355,-0.041964820436421135,-0.12960180326920145,-0.0016388248533251853,-0.006255284564273489,-0.0025778110490627393
structural,uniform,15,-0.07757585104056286,-0.10292485793975104,-0.27283610902874855,-0.004075211135268611,-0.010906910158270944,-0.004408961901515268
structural,hard_topk,15,-0.06575115709431945,-0.03943385995346382,-0.018119199676997155,-0.0016060483562586741,-0.008905541726796029,-0.0036029605526346764
structural,soft_topk,15,-0.0677465905643917,-0.03793807122860393,-0.04834190892907131,-0.0015404953621256656,-0.009115544939814313,-0.003591442111015364
structural,rank_weighted,15,-0.07223478098801639,-0.06826932328812063,-0.19733454370558334,-0.0027586885030973785,-0.009081600176226834,-0.0036128366217946795
