cur_lock_id,lock_name,corridor,beta_q_pos,beta_nq_pos,throughflow_index,mean_stress_index,PI_l,lock_name_obs,corridor_obs,n_events,mean_next_wait1,p90_next_wait1,p95_next_wait1,high_wait_share,mean_queue_pressure,p90_queue_pressure,extreme_queue_share,high_queue_share,p90_spillover_queue,high_spillover_queue_share,mean_empty_share,high_empty_share,extreme_empty_share,low_eff_current_share,low_eff_next_share,state4_next_share,queue_sensitivity,structural_sensitivity,queue_exposure,structural_exposure,queue_risk_score,structural_risk_score,queue_rank,structural_rank
13,杨林,沿江口门群,0.9065236496316688,0.4924909699166749,0.5738088074565693,0.7193480133996554,0.2545544842114276,L13,沿江口门群,2092,40.056305104100275,91.80416666666667,99.53473611111109,0.5559273422562141,164.50286806883366,195.0,0.0,0.03011472275334608,0.0,0.0,0.46480110390771445,0.24617590822179733,0.09082217973231357,0.44263862332695986,0.5234225621414914,0.2624282982791587,0.7616122117314209,0.6788056757884222,0.7156564183530779,0.5406504630581526,0.5450526676216747,0.36699660294151265,1,2
14,南通,沿江口门群,0.8894623757798369,0.0,0.5078117087237912,0.3020272333136412,0.0409258446635618,L14,沿江口门群,1610,32.73335990338164,73.00205555555557,99.03102777777778,0.6037267080745342,113.63788819875776,148.0,0.0,0.0,230.5,0.15714285714285714,0.3461181468634885,0.13540372670807455,0.08136645962732919,0.33291925465838507,0.5360248447204969,0.22422360248447204,0.578150544256894,0.4002580691009266,0.7286604348625397,0.45512708554948306,0.4212754269942424,0.18216828845756833,2,5
2,下坝,苏南入江支网,0.9628594480318836,0.3139834086480378,0.7126480997272704,0.2509567137172201,0.0909682357128675,L2,苏南入江支网,3629,20.174561250420993,32.93883333333334,37.641888888888886,0.5042711490768806,95.73325985119868,139.0,0.0,0.0,190.5,0.1281344723064205,0.5901921828210062,0.33232295398181316,0.19233948746211077,0.6208321851749793,0.9382750068889502,0.29402039129236707,0.7357528342475376,0.6059776263707685,0.4438346148365646,0.7489255431407087,0.3265525758031666,0.4538321229608452,3,1
3,杨家湾,苏南入江支网,0.4110664429373787,0.4806917521654477,0.6702357178375739,0.26404021544186,0.0813711665823729,L3,苏南入江支网,3067,14.688538836358365,30.072055555555558,42.468888888888884,0.22171503097489403,115.89925008151287,220.0,0.026084121291164004,0.1415063580045647,160.9782487451199,0.0078252363873492,0.5318935974035021,0.3055102706227584,0.1415063580045647,0.478969677208999,0.06651450929246822,0.024127812194326703,0.43543530116720286,0.4493603630128167,0.37988846518308594,0.15137041667198411,0.1654168482469435,0.0680198653851241,4,20
8,丹金,苏南入江支网,0.6314347179079334,0.0,0.6989458856649582,0.5377397415036067,0.071197607237255,L8,苏南入江支网,3437,8.734125610189764,29.52527777777778,44.972055555555556,0.16351469304626126,8.356124527203956,17.0,0.0,0.0,243.45360521831108,0.4707593831830084,0.44189711796038544,0.1763165551352924,0.059645039278440504,0.43380855397148677,0.523712540005819,0.14402094850160024,0.4104325666401567,0.28414562305857005,0.3343760031440382,0.4001310220624256,0.13723880119328472,0.11369547856899037,5,16
11,张家港,沿江口门群,0.2756366247754422,0.0,0.8229049994153546,0.375518141401273,0.0255528179901154,L11,沿江口门群,5620,22.82748190984579,68.7215,91.580625,0.301423487544484,239.4428825622776,312.0,0.4087188612099644,0.7505338078291814,113.63933054393304,0.0,0.6473385929426243,0.48345195729537366,0.19768683274021354,0.6549822064056939,0.5829181494661921,0.05658362989323843,0.17916380610403745,0.124036481148949,0.6531886067863535,0.4401877036661407,0.1170277568956366,0.05459933380778441,6,25
17,吕四,通扬—里下河网络,0.535043406756975,0.1490666312729321,0.424781201396303,0.2986717233029113,0.0336027809062119,L17,通扬—里下河网络,1158,7.179396229130685,21.341916666666663,46.804944444444445,0.10880829015544041,6.72279792746114,13.0,0.0,0.0,276.1977667493796,0.19948186528497408,0.47947473750582564,0.30397236614853196,0.19602763385146804,0.4740932642487047,0.8290155440414507,0.16234887737478412,0.39995153533756,0.3227561802407514,0.2762350331782315,0.5639555397079636,0.11048062563365552,0.18202013582175375,7,6
12,虞山,沿江口门群,0.5693367441658337,0.0,0.6395079792485374,1.0,0.1092286172320301,L12,沿江口门群,2715,5.406456824227543,13.4575,20.367527777777767,0.056721915285451195,9.900552486187845,19.0,0.0,0.0,319.5,0.9152854511970534,0.6476863237449848,0.4777163904235727,0.18084714548802946,0.6629834254143646,0.7653775322283609,0.07550644567219153,0.3700688837077919,0.25620153487462516,0.25236475781923307,0.5422083698388469,0.09339234421335083,0.13891461657458098,8,11
50,皂河,京杭主通道,0.4403705297709825,0.227507003769079,0.9258126943233376,0.1027272304721459,0.0277107113562699,L50,京杭主通道,8453,7.811899917189162,18.529722222222222,20.826666666666668,0.07831539098544896,104.32485508103632,173.0,0.0,0.021767419850940495,148.93609718097278,0.008635987223470957,0.585038208356821,0.38471548562640484,0.11333254465870106,0.5107062581332071,0.43156275878386374,0.16053472140068614,0.3658682956703163,0.3232955904699356,0.24927682384419747,0.4344094372504097,0.09120248668998619,0.14044265552158364,9,10
9,前黄,苏南入江支网,0.6366693127845694,0.0,0.9688893325942062,0.495530033576717,0.0917021099621807,L9,苏南入江支网,10028,3.1481701236537694,6.734972222222224,16.630486111111107,0.039589150378938974,27.235141603510172,48.0,0.0,0.0,257.77367711493093,0.5307140007977662,0.43472015428671096,0.12644595133625847,0.013761467889908258,0.4281013163143199,0.474571200638213,0.11368169126445951,0.4138350533099701,0.28650119075305625,0.20548176642674046,0.34237173217827993,0.08503555776343696,0.09808990894926366,10,17
1,秦淮河,苏南入江支网,0.4104374816268543,0.0,0.1402648641223012,0.1842599025920955,0.0031823504333896,L1,苏南入江支网,374,7.992993909685087,17.99694444444444,27.992888888888842,0.08288770053475936,5.967914438502674,12.0,0.0,0.0,358.75,0.9064171122994652,0.4895276292335116,0.3582887700534759,0.339572192513369,0.48128342245989303,0.4144385026737968,0.0748663101604278,0.2667843630574553,0.18469686673208444,0.2738363005433959,0.3518920690546492,0.07305524302247977,0.064993362582264,11,23
42,善南,淮河—徐宿西北网络,0.5433024676188748,0.2620436759623702,0.5680821619460198,0.0,0.0,L42,淮河—徐宿西北网络,2045,5.662928416191251,16.703055555555554,20.822833333333328,0.061124694376528114,6.754034229828851,15.0,0.0,0.0,26.759098101265824,0.0,0.556537003445157,0.4444987775061125,0.25134474327628364,0.5334963325183374,0.5403422982885085,0.10806845965770172,0.4448618905390982,0.3886101322077973,0.1119566619239116,0.4445245029645544,0.04980525228191798,0.17274672586666087,12,8
26,周山河,通扬—里下河网络,0.3819208419242839,0.25653175267377,0.5781088623371735,0.0711016480898815,0.0120908240813888,L26,通扬—里下河网络,2128,5.076431443191312,13.166694444444444,18.328791666666664,0.044642857142857144,14.82048872180451,32.0,0.0,0.0,128.85714285714286,0.007518796992481203,0.5038396100285423,0.26362781954887216,0.14426691729323307,0.5319548872180451,0.8275375939849624,0.0775375939849624,0.33803466068660404,0.31295684283650127,0.1332442330169498,0.4571388857672205,0.04504116909633143,0.14306474242750533,13,9
41,云善,淮河—徐宿西北网络,1.0426418741919932,0.5740204785111318,0.499215046671177,0.0,0.0,L41,淮河—徐宿西北网络,1556,2.622557483576121,9.767916666666666,11.722708333333333,0.006426735218508998,9.287917737789202,22.0,0.0,0.0,11.666666666666666,0.0,0.5775497543805282,0.48264781491002573,0.2879177377892031,0.5404884318766067,0.34832904884318766,0.14010282776349614,0.8786243857036917,0.7849001065675194,0.05095987158122918,0.41883988514145887,0.044774585863596505,0.32874747048225866,14,3
44,邵伯,京杭主通道,0.0832069604939869,0.3278372791172557,0.95448159937203,0.3522903069961119,0.0855593761596077,L44,京杭主通道,9471,10.262749123054,19.392777777777777,21.504583333333333,0.09471016788089959,91.5677330799282,119.0,0.0,0.0,169.58962596507007,0.09492133882377785,0.25215904681819806,0.013937282229965157,0.00010558547143912998,0.2264808362369338,0.2687150248125858,0.0951325097666561,0.16882757201213097,0.21775363573678477,0.24809625363735321,0.21087617772666953,0.04188548812690016,0.04591905439025868,15,29
4,玉带,苏南入江支网,0.7116301095501794,0.0,0.2097582344383166,0.603894208758189,0.0270430364475148,L4,苏南入江支网,493,5.290579783637593,12.718833333333334,14.203888888888889,0.012170385395537525,4.150101419878296,9.0,0.0,0.0,141.5,0.0,0.4284748382111465,0.32454361054766734,0.2920892494929006,0.42190669371196754,0.47058823529411764,0.07099391480730223,0.4625595712076166,0.32023354929758074,0.09041844512321855,0.37481103705138585,0.041823917205455384,0.12002706871087233,16,13
48,刘老涧,京杭主通道,0.3973749797699191,0.1152978251459094,0.9718387150390584,0.0766159020846837,0.0148857756414245,L48,京杭主通道,10146,4.630465454366252,8.533472222222223,10.401180555555555,0.000788488074117879,66.51261580918589,89.0,0.0,0.0,133.33820511802162,0.002562586240883107,0.5669966481530878,0.3456534594914252,0.081411393652671,0.5370589394835403,0.5704711216242855,0.1701163019909324,0.29864797565151574,0.2422325447267138,0.13578362853706955,0.4790824300386938,0.0405515057892132,0.11604935616213062,17,14
16,海安,通扬—里下河网络,0.346633746716215,0.1258322640784908,0.6673427008435923,0.0589054374982188,0.0075504000347945,L16,通扬—里下河网络,3032,5.880958846379362,11.041722222222223,20.545819444444355,0.05046174142480211,18.556398416886545,33.0,0.0,0.0,117.43783764264053,0.020118733509234828,0.3374099049225615,0.05408970976253298,0.017810026385224276,0.3423482849604222,0.404023746701847,0.07849604221635884,0.2693532277930115,0.2251929312654667,0.1338481611911635,0.22889232754743888,0.03605243425099919,0.05154493418458309,18,26
22,芒稻,通扬—里下河网络,0.0,0.3697820519090868,0.5311169272705928,0.1878919712996771,0.0258310603463292,L22,通扬—里下河网络,1766,11.13647964640745,23.68888888888889,27.70611111111111,0.16308040770101925,34.490939977349946,58.0,0.0,0.0,169.49732691398864,0.09796149490373726,0.2522945981402324,0.19818799546998866,0.13816534541336353,0.23442808607021517,0.2927519818799547,0.1591166477916195,0.12942371816818038,0.20338012854999776,0.24625714095794646,0.32634800105509404,0.03187151480824313,0.06637269840661983,19,22
